Clustering Method: hdbscan
Number of Clusters: 69
Number of Noise Points: 929
Silhouette Score: 0.1236
Calinski-Harabasz Score: 26.4866

Cluster Sizes:
Cluster -1: 929 sequences
Cluster 0: 16 sequences
Cluster 1: 21 sequences
Cluster 2: 18 sequences
Cluster 3: 11 sequences
Cluster 4: 11 sequences
Cluster 5: 5 sequences
Cluster 6: 46 sequences
Cluster 7: 20 sequences
Cluster 8: 18 sequences
Cluster 9: 44 sequences
Cluster 10: 43 sequences
Cluster 11: 45 sequences
Cluster 12: 6 sequences
Cluster 13: 10 sequences
Cluster 14: 8 sequences
Cluster 15: 24 sequences
Cluster 16: 45 sequences
Cluster 17: 30 sequences
Cluster 18: 20 sequences
Cluster 19: 52 sequences
Cluster 20: 50 sequences
Cluster 21: 5 sequences
Cluster 22: 5 sequences
Cluster 23: 18 sequences
Cluster 24: 20 sequences
Cluster 25: 21 sequences
Cluster 26: 48 sequences
Cluster 27: 49 sequences
Cluster 28: 38 sequences
Cluster 29: 36 sequences
Cluster 30: 6 sequences
Cluster 31: 8 sequences
Cluster 32: 20 sequences
Cluster 33: 7 sequences
Cluster 34: 7 sequences
Cluster 35: 5 sequences
Cluster 36: 5 sequences
Cluster 37: 8 sequences
Cluster 38: 8 sequences
Cluster 39: 5 sequences
Cluster 40: 7 sequences
Cluster 41: 11 sequences
Cluster 42: 13 sequences
Cluster 43: 6 sequences
Cluster 44: 5 sequences
Cluster 45: 7 sequences
Cluster 46: 5 sequences
Cluster 47: 13 sequences
Cluster 48: 8 sequences
Cluster 49: 13 sequences
Cluster 50: 12 sequences
Cluster 51: 7 sequences
Cluster 52: 7 sequences
Cluster 53: 9 sequences
Cluster 54: 5 sequences
Cluster 55: 8 sequences
Cluster 56: 5 sequences
Cluster 57: 8 sequences
Cluster 58: 6 sequences
Cluster 59: 7 sequences
Cluster 60: 5 sequences
Cluster 61: 7 sequences
Cluster 62: 5 sequences
Cluster 63: 6 sequences
Cluster 64: 5 sequences
Cluster 65: 4 sequences
Cluster 66: 5 sequences
Cluster 67: 5 sequences
Cluster 68: 5 sequences
