Clustering Method: hdbscan
Number of Clusters: 1693
Number of Noise Points: 15963
Silhouette Score: 0.0652
Calinski-Harabasz Score: 294.6139

Cluster Sizes:
Cluster -1: 15963 sequences
Cluster 0: 74830 sequences
Cluster 1: 2451 sequences
Cluster 2: 2468 sequences
Cluster 3: 857 sequences
Cluster 4: 842 sequences
Cluster 5: 312 sequences
Cluster 6: 255 sequences
Cluster 7: 7 sequences
Cluster 8: 1196 sequences
Cluster 9: 297 sequences
Cluster 10: 9165 sequences
Cluster 11: 247 sequences
Cluster 12: 41082 sequences
Cluster 13: 60 sequences
Cluster 14: 1911 sequences
Cluster 15: 1818 sequences
Cluster 16: 1577 sequences
Cluster 17: 1879 sequences
Cluster 18: 949 sequences
Cluster 19: 4170 sequences
Cluster 20: 222 sequences
Cluster 21: 908 sequences
Cluster 22: 1955 sequences
Cluster 23: 1943 sequences
Cluster 24: 255 sequences
Cluster 25: 238 sequences
Cluster 26: 17015 sequences
Cluster 27: 80 sequences
Cluster 28: 90 sequences
Cluster 29: 211 sequences
Cluster 30: 209 sequences
Cluster 31: 1798 sequences
Cluster 32: 825 sequences
Cluster 33: 825 sequences
Cluster 34: 412 sequences
Cluster 35: 6985 sequences
Cluster 36: 442 sequences
Cluster 37: 436 sequences
Cluster 38: 286 sequences
Cluster 39: 260 sequences
Cluster 40: 30 sequences
Cluster 41: 946 sequences
Cluster 42: 957 sequences
Cluster 43: 332 sequences
Cluster 44: 818 sequences
Cluster 45: 587 sequences
Cluster 46: 273 sequences
Cluster 47: 1385 sequences
Cluster 48: 1359 sequences
Cluster 49: 639 sequences
Cluster 50: 449 sequences
Cluster 51: 139 sequences
Cluster 52: 133 sequences
Cluster 53: 1205 sequences
Cluster 54: 788 sequences
Cluster 55: 17 sequences
Cluster 56: 16 sequences
Cluster 57: 78 sequences
Cluster 58: 73 sequences
Cluster 59: 532 sequences
Cluster 60: 531 sequences
Cluster 61: 450 sequences
Cluster 62: 3139 sequences
Cluster 63: 1057 sequences
Cluster 64: 29 sequences
Cluster 65: 296 sequences
Cluster 66: 46 sequences
Cluster 67: 64 sequences
Cluster 68: 62 sequences
Cluster 69: 1309 sequences
Cluster 70: 95 sequences
Cluster 71: 96 sequences
Cluster 72: 59 sequences
Cluster 73: 56 sequences
Cluster 74: 804 sequences
Cluster 75: 805 sequences
Cluster 76: 221 sequences
Cluster 77: 312 sequences
Cluster 78: 580 sequences
Cluster 79: 3447 sequences
Cluster 80: 63 sequences
Cluster 81: 66 sequences
Cluster 82: 1557 sequences
Cluster 83: 12 sequences
Cluster 84: 93 sequences
Cluster 85: 87 sequences
Cluster 86: 262 sequences
Cluster 87: 240 sequences
Cluster 88: 738 sequences
Cluster 89: 733 sequences
Cluster 90: 395 sequences
Cluster 91: 352 sequences
Cluster 92: 172 sequences
Cluster 93: 170 sequences
Cluster 94: 1104 sequences
Cluster 95: 1297 sequences
Cluster 96: 69 sequences
Cluster 97: 67 sequences
Cluster 98: 41 sequences
Cluster 99: 1262 sequences
Cluster 100: 1539 sequences
Cluster 101: 435 sequences
Cluster 102: 48 sequences
Cluster 103: 44 sequences
Cluster 104: 29 sequences
Cluster 105: 27 sequences
Cluster 106: 97 sequences
Cluster 107: 98 sequences
Cluster 108: 133 sequences
Cluster 109: 131 sequences
Cluster 110: 37 sequences
Cluster 111: 6 sequences
Cluster 112: 3283 sequences
Cluster 113: 50 sequences
Cluster 114: 52 sequences
Cluster 115: 18 sequences
Cluster 116: 13 sequences
Cluster 117: 245 sequences
Cluster 118: 246 sequences
Cluster 119: 539 sequences
Cluster 120: 533 sequences
Cluster 121: 33 sequences
Cluster 122: 28 sequences
Cluster 123: 736 sequences
Cluster 124: 729 sequences
Cluster 125: 721 sequences
Cluster 126: 305 sequences
Cluster 127: 323 sequences
Cluster 128: 742 sequences
Cluster 129: 726 sequences
Cluster 130: 99 sequences
Cluster 131: 114 sequences
Cluster 132: 117 sequences
Cluster 133: 19 sequences
Cluster 134: 19 sequences
Cluster 135: 77 sequences
Cluster 136: 81 sequences
Cluster 137: 570 sequences
Cluster 138: 560 sequences
Cluster 139: 5 sequences
Cluster 140: 28 sequences
Cluster 141: 788 sequences
Cluster 142: 786 sequences
Cluster 143: 153 sequences
Cluster 144: 92 sequences
Cluster 145: 19 sequences
Cluster 146: 102 sequences
Cluster 147: 13 sequences
Cluster 148: 12 sequences
Cluster 149: 143 sequences
Cluster 150: 131 sequences
Cluster 151: 145 sequences
Cluster 152: 144 sequences
Cluster 153: 238 sequences
Cluster 154: 233 sequences
Cluster 155: 178 sequences
Cluster 156: 284 sequences
Cluster 157: 551 sequences
Cluster 158: 532 sequences
Cluster 159: 5 sequences
Cluster 160: 1113 sequences
Cluster 161: 63 sequences
Cluster 162: 62 sequences
Cluster 163: 268 sequences
Cluster 164: 23 sequences
Cluster 165: 37 sequences
Cluster 166: 30 sequences
Cluster 167: 246 sequences
Cluster 168: 124 sequences
Cluster 169: 130 sequences
Cluster 170: 113 sequences
Cluster 171: 116 sequences
Cluster 172: 49 sequences
Cluster 173: 51 sequences
Cluster 174: 514 sequences
Cluster 175: 517 sequences
Cluster 176: 10 sequences
Cluster 177: 10 sequences
Cluster 178: 8 sequences
Cluster 179: 19 sequences
Cluster 180: 55 sequences
Cluster 181: 7 sequences
Cluster 182: 6 sequences
Cluster 183: 539 sequences
Cluster 184: 537 sequences
Cluster 185: 43 sequences
Cluster 186: 33 sequences
Cluster 187: 93 sequences
Cluster 188: 84 sequences
Cluster 189: 66 sequences
Cluster 190: 77 sequences
Cluster 191: 649 sequences
Cluster 192: 529 sequences
Cluster 193: 1889 sequences
Cluster 194: 1881 sequences
Cluster 195: 8 sequences
Cluster 196: 14 sequences
Cluster 197: 15 sequences
Cluster 198: 14 sequences
Cluster 199: 182 sequences
Cluster 200: 177 sequences
Cluster 201: 271 sequences
Cluster 202: 268 sequences
Cluster 203: 131 sequences
Cluster 204: 130 sequences
Cluster 205: 73 sequences
Cluster 206: 72 sequences
Cluster 207: 126 sequences
Cluster 208: 120 sequences
Cluster 209: 94 sequences
Cluster 210: 98 sequences
Cluster 211: 15 sequences
Cluster 212: 13 sequences
Cluster 213: 159 sequences
Cluster 214: 30 sequences
Cluster 215: 42 sequences
Cluster 216: 37 sequences
Cluster 217: 39 sequences
Cluster 218: 399 sequences
Cluster 219: 396 sequences
Cluster 220: 27 sequences
Cluster 221: 27 sequences
Cluster 222: 714 sequences
Cluster 223: 722 sequences
Cluster 224: 435 sequences
Cluster 225: 41 sequences
Cluster 226: 43 sequences
Cluster 227: 317 sequences
Cluster 228: 133 sequences
Cluster 229: 126 sequences
Cluster 230: 106 sequences
Cluster 231: 181 sequences
Cluster 232: 12 sequences
Cluster 233: 12 sequences
Cluster 234: 184 sequences
Cluster 235: 249 sequences
Cluster 236: 477 sequences
Cluster 237: 83 sequences
Cluster 238: 82 sequences
Cluster 239: 274 sequences
Cluster 240: 268 sequences
Cluster 241: 72 sequences
Cluster 242: 74 sequences
Cluster 243: 32 sequences
Cluster 244: 32 sequences
Cluster 245: 427 sequences
Cluster 246: 432 sequences
Cluster 247: 121 sequences
Cluster 248: 123 sequences
Cluster 249: 129 sequences
Cluster 250: 137 sequences
Cluster 251: 421 sequences
Cluster 252: 421 sequences
Cluster 253: 434 sequences
Cluster 254: 433 sequences
Cluster 255: 38 sequences
Cluster 256: 34 sequences
Cluster 257: 9 sequences
Cluster 258: 11 sequences
Cluster 259: 412 sequences
Cluster 260: 277 sequences
Cluster 261: 258 sequences
Cluster 262: 44 sequences
Cluster 263: 74 sequences
Cluster 264: 74 sequences
Cluster 265: 561 sequences
Cluster 266: 557 sequences
Cluster 267: 126 sequences
Cluster 268: 137 sequences
Cluster 269: 36 sequences
Cluster 270: 150 sequences
Cluster 271: 7 sequences
Cluster 272: 5 sequences
Cluster 273: 31 sequences
Cluster 274: 33 sequences
Cluster 275: 58 sequences
Cluster 276: 51 sequences
Cluster 277: 107 sequences
Cluster 278: 96 sequences
Cluster 279: 99 sequences
Cluster 280: 94 sequences
Cluster 281: 13 sequences
Cluster 282: 11 sequences
Cluster 283: 114 sequences
Cluster 284: 59 sequences
Cluster 285: 59 sequences
Cluster 286: 51 sequences
Cluster 287: 49 sequences
Cluster 288: 34 sequences
Cluster 289: 26 sequences
Cluster 290: 18 sequences
Cluster 291: 9 sequences
Cluster 292: 11 sequences
Cluster 293: 57 sequences
Cluster 294: 47 sequences
Cluster 295: 103 sequences
Cluster 296: 102 sequences
Cluster 297: 178 sequences
Cluster 298: 14 sequences
Cluster 299: 14 sequences
Cluster 300: 39 sequences
Cluster 301: 39 sequences
Cluster 302: 211 sequences
Cluster 303: 37 sequences
Cluster 304: 36 sequences
Cluster 305: 34 sequences
Cluster 306: 342 sequences
Cluster 307: 392 sequences
Cluster 308: 387 sequences
Cluster 309: 185 sequences
Cluster 310: 183 sequences
Cluster 311: 381 sequences
Cluster 312: 136 sequences
Cluster 313: 133 sequences
Cluster 314: 113 sequences
Cluster 315: 112 sequences
Cluster 316: 272 sequences
Cluster 317: 267 sequences
Cluster 318: 220 sequences
Cluster 319: 216 sequences
Cluster 320: 14 sequences
Cluster 321: 12 sequences
Cluster 322: 548 sequences
Cluster 323: 556 sequences
Cluster 324: 201 sequences
Cluster 325: 22 sequences
Cluster 326: 19 sequences
Cluster 327: 251 sequences
Cluster 328: 259 sequences
Cluster 329: 7 sequences
Cluster 330: 258 sequences
Cluster 331: 102 sequences
Cluster 332: 97 sequences
Cluster 333: 262 sequences
Cluster 334: 14 sequences
Cluster 335: 13 sequences
Cluster 336: 12 sequences
Cluster 337: 9 sequences
Cluster 338: 9 sequences
Cluster 339: 9 sequences
Cluster 340: 71 sequences
Cluster 341: 66 sequences
Cluster 342: 38 sequences
Cluster 343: 37 sequences
Cluster 344: 30 sequences
Cluster 345: 5 sequences
Cluster 346: 32 sequences
Cluster 347: 31 sequences
Cluster 348: 7 sequences
Cluster 349: 8 sequences
Cluster 350: 7 sequences
Cluster 351: 6 sequences
Cluster 352: 6 sequences
Cluster 353: 21 sequences
Cluster 354: 18 sequences
Cluster 355: 95 sequences
Cluster 356: 56 sequences
Cluster 357: 56 sequences
Cluster 358: 186 sequences
Cluster 359: 195 sequences
